Zipcode,Rural Percent,Urban Percent
02553,7.52,92.48
02554,16.26,83.74
02556,0,100
02557,13.78,86.22
02558,0.23,99.77
02559,2.31,97.69
02561,0,100
02562,2.18,97.82
02563,0.37,99.63
02564,100,0
02568,14.63,85.37
02571,7.42,92.58
02575,100,0
02576,17.16,82.84
02584,100,0
02601,0,100
02630,14.49,85.51
02631,17.71,82.29
02632,0.27,99.73
02633,4.48,95.52
02635,7.92,92.08
02637,26.88,73.12
02638,8.76,91.24
02639,0,100
02641,62.97,37.03
02642,5.65,94.35
02643,0,100
02644,0.03,99.97
02645,6.98,93.02
02646,0,100
02647,0,100
02648,2.4,97.6
02649,4.75,95.25
02650,7.08,92.92
02651,75,25
02652,67.23,32.77
02653,16.31,83.69
02655,19.27,80.73
02657,5.95,94.05
02659,0.45,99.55
02660,1.95,98.05
02663,42.77,57.23
02664,0,100
02666,100,0
02667,81.78,18.22
02668,23.49,76.51
02669,16.84,83.16
02670,0,100
02671,0,100
02672,0,100
02673,3.27,96.73
02675,12.6,87.4
02702,24.92,75.08
02703,0,100
02713,100,0
02715,60.81,39.19
02717,54.98,45.02
02718,5.66,94.34
02719,3.29,96.71
02720,0.7,99.3
02721,0,100
02723,0,100
02724,0,100
02725,0,100
02726,0,100
02738,20.34,79.66
02739,52.27,47.73
02740,0,100
02743,37.31,62.69
02744,0,100
02745,0.57,99.43
02746,0,100
02747,25.87,74.13
02748,19.38,80.62
02760,0,100
02762,7.43,92.57
02763,0,100
02764,50.53,49.47
02766,15.51,84.49
02767,4.24,95.76
02769,87.03,12.97
02770,94.7,5.3
02771,8.49,91.51
02777,20.02,79.98
02779,56.68,43.32
02780,5.52,94.48
02790,49.12,50.88
02791,100,0
02802,0,100
02804,48.14,51.86
02806,0,100
02807,100,0
02808,100,0
02809,0.64,99.36
02812,100,0
02813,79.94,20.06
02814,92.78,7.22
02815,100,0
02816,13.97,86.03
02817,74.67,25.33
02818,10.85,89.15
02822,74.54,25.46
02825,100,0
02826,36.92,63.08
02827,100,0
02828,0.45,99.55
02830,44.36,55.64
02831,43.58,56.42
02832,100,0
02833,100,0
02835,8.46,91.54
02836,100,0
02837,100,0
02838,0,100
02839,30.23,69.77
02840,1.42,98.58
02841,0,100
02842,2.46,97.54
02852,2.7,97.3
02857,77.64,22.36
02858,2.11,97.89
02859,42.37,57.63
02860,0,100
02861,0,100
02863,0,100
02864,7.07,92.93
02865,0.11,99.89
02871,3.15,96.85
02872,100,0
02873,100,0
02874,33.05,66.95
02875,100,0
02876,0,100
02878,29.07,70.93
02879,24.26,75.74
02881,4.64,95.36
02882,0.1,99.9
02885,3.99,96.01
02886,0,100
02888,0,100
02889,0,100
02891,6.73,93.27
02892,87.01,12.99
02893,0,100
02894,100,0
02895,0,100
02896,15.9,84.1
02898,100,0
02903,0,100
02904,0,100
02905,0,100
02906,0,100
02907,0,100
02908,0,100
02909,0,100
02910,0,100
02911,0,100
02912,0,100
02914,0,100
02915,0,100
02916,0,100
02917,7.87,92.13
02919,4.6,95.4
02920,0,100
02921,6.54,93.46
03031,43.7,56.3
03032,72.38,27.62
03033,100,0
03034,99.62,0.38
03036,84.73,15.27
03037,100,0
03038,9.49,90.51
03042,50.2,49.8
03043,100,0
03044,84.4,15.6
03045,38.89,61.11
03046,100,0
03047,100,0
03048,100,0
03049,86.23,13.77
03051,5.21,94.79
03052,31.62,68.38
03053,10.36,89.64
03054,11.79,88.21
03055,19.37,80.63
03057,93.72,6.28
03060,0,100
03062,2.72,97.28
03063,0.12,99.88
03064,0,100
03070,100,0
03071,100,0
03076,26.6,73.4
03077,54.59,45.41
03079,1.13,98.87
03082,100,0
03084,100,0
03086,67.89,32.11
03087,22.67,77.33
03101,0,100
03102,0,100
03103,0,100
03104,0,100
03106,28.16,71.84
03109,5.17,94.83
03110,6.16,93.84
03215,100,0
03216,100,0
03217,97.88,2.12
03218,100,0
03220,82.91,17.09
03221,100,0
03222,100,0
03223,96,4
03224,100,0
03225,100,0
03226,100,0
03227,100,0
03229,100,0
03230,100,0
03231,100,0
03233,100,0
03234,100,0
03235,26.48,73.52
03237,100,0
03238,100,0
03240,100,0
03241,100,0
03242,100,0
03243,100,0
03244,52,48
03245,91.47,8.53
03246,12.87,87.13
03249,58.81,41.19
03251,100,0
03253,100,0
03254,100,0
03255,100,0
03256,100,0
03257,100,0
03258,100,0
03259,100,0
03260,100,0
03261,100,0
03262,100,0
03263,100,0
03264,38.34,61.66
03266,100,0
03268,100,0
03269,97.84,2.16
03273,100,0
03275,45.19,54.81
03276,54.95,45.05
03278,100,0
03279,100,0
03280,100,0
03281,100,0
03282,100,0
03284,100,0
03285,100,0
03287,100,0
03290,100,0
03291,100,0
03293,100,0
03301,8.65,91.35
03303,37.23,62.77
03304,64.61,35.39
03307,100,0
03431,14.82,85.18
03440,100,0
03441,100,0
03442,100,0
03443,100,0
03444,100,0
03445,100,0
03446,99.35,0.65
03447,100,0
03448,100,0
03449,100,0
03450,100,0
03451,99.78,0.22
03452,46.84,53.16
03455,55.13,44.87
03456,100,0
03457,100,0
03458,52.36,47.64
03461,98.3,1.7
03462,100,0
03464,100,0
03465,100,0
03466,100,0
03467,100,0
03470,100,0
03561,40.76,59.24
03570,11.57,88.43
03574,100,0
03575,100,0
03576,100,0
03579,100,0
03580,100,0
03581,29.69,70.31
03582,100,0
03583,100,0
03584,100,0
03585,100,0
03586,100,0
03588,100,0
03590,100,0
03592,100,0
03593,100,0
03595,100,0
03597,100,0
03598,100,0
03601,100,0
03602,100,0
03603,46.29,53.71
03604,100,0
03605,100,0
03607,100,0
03608,76.41,23.59
03609,7.03,92.97
03740,100,0
03741,100,0
03743,31.94,68.06
03745,97.96,2.04
03746,100,0
03748,92.08,7.92
03750,96.67,3.33
03751,100,0
03752,100,0
03753,100,0
03754,0,100
03755,16.83,83.17
03765,100,0
03766,23.13,76.87
03768,100,0
03770,100,0
03771,100,0
03773,61.03,38.97
03774,100,0
03777,100,0
03779,100,0
03780,100,0
03781,100,0
03782,100,0
03784,18.09,81.91
03785,100,0
03801,3.13,96.87
03809,100,0
03810,100,0
03811,0,100
03812,100,0
03813,94.15,5.85
03814,100,0
03816,100,0
03817,100,0
03818,55.16,44.84
03819,43.91,56.09
03820,1.44,98.56
03823,93.25,6.75
03824,17.66,82.34
03825,98.13,1.87
03826,0.16,99.84
03827,67.81,32.19
03830,100,0
03832,100,0
03833,38.38,61.62
03835,56.42,43.58
03836,100,0
03837,100,0
03838,100,0
03839,32.26,67.74
03840,21.96,78.04
03841,2.23,97.77
03842,3.51,96.49
03844,68.59,31.41
03845,88.09,11.91
03846,100,0
03847,2.38,97.62
03848,33.17,66.83
03849,100,0
03850,100,0
03851,62.18,37.82
03852,100,0
03853,100,0
03854,0,100
03855,100,0
03856,64.52,35.48
03857,16.29,83.71
03858,24.83,75.17
03860,41.25,58.75
03861,99.45,0.55
03862,42.15,57.85
03864,100,0
03865,0.03,99.97
03867,20.65,79.35
03868,9.06,90.94
03869,39,61
03870,7.25,92.75
03871,52.21,47.79
03872,100,0
03873,28.33,71.67
03874,0.96,99.04
03875,100,0
03878,3.16,96.84
03882,100,0
03883,100,0
03884,100,0
03885,26,74
03886,100,0
03887,100,0
03890,100,0
03894,100,0
03901,65.29,34.71
03902,91.63,8.37
03903,52.41,47.59
03904,21.21,78.79
03905,49.44,50.56
03906,100,0
03907,100,0
03908,39.87,60.13
03909,41.07,58.93
03910,0,100
03911,0,100
04001,100,0
04002,100,0
04003,100,0
04005,25.7,74.3
04006,100,0
04008,100,0
04009,100,0
04010,100,0
04011,22.91,77.09
04015,100,0
04017,100,0
04019,100,0
04020,100,0
04021,66.15,33.85
04022,100,0
04024,100,0
04027,94.61,5.39
04029,100,0
04030,100,0
04032,66.53,33.47
04037,100,0
04038,61.82,38.18
04039,100,0
04040,100,0
04041,100,0
04042,100,0
04043,35.86,64.14
04046,77.35,22.65
04047,100,0
04048,100,0
04049,100,0
04050,100,0
04051,100,0
04055,100,0
04056,100,0
04057,100,0
04061,100,0
04062,37.89,62.11
04063,0,100
04064,2.3,97.7
04066,100,0
04068,100,0
04069,100,0
04071,85.67,14.33
04072,26.36,73.64
04073,33.29,66.71
04074,35.51,64.49
04076,100,0
04079,100,0
04083,38.48,61.52
04084,99.13,0.87
04085,100,0
04086,37.54,62.46
04087,100,0
04088,100,0
04090,100,0
04091,100,0
04092,4.38,95.62
04093,100,0
04095,100,0
04096,11.53,88.47
04097,89.84,10.16
04101,0,100
04102,0,100
04103,0,100
04105,45.89,54.11
04106,0,100
04107,13.49,86.51
04108,100,0
04109,100,0
04110,3.31,96.69
04210,22.22,77.78
04216,100,0
04217,100,0
04219,100,0
04220,100,0
04221,100,0
04222,100,0
04224,100,0
04226,100,0
04227,100,0
04228,100,0
04231,100,0
04234,100,0
04236,100,0
04237,100,0
04238,100,0
04239,70.89,29.11
04240,7.72,92.28
04250,53.43,46.57
04252,25.46,74.54
04253,100,0
04254,47.19,52.81
04255,100,0
04256,100,0
04257,40.84,59.16
04258,100,0
04259,100,0
04260,98.52,1.48
04261,100,0
04263,100,0
04265,100,0
04267,100,0
04268,63.23,36.77
04270,91.89,8.11
04271,100,0
04274,100,0
04275,100,0
04276,41.77,58.23
04280,67.92,32.08
04281,51.99,48.01
04282,100,0
04284,100,0
04285,100,0
04286,100,0
04287,100,0
04289,100,0
04290,100,0
04292,100,0
04294,100,0
04330,47.75,52.25
04342,100,0
04343,100,0
04344,35.55,64.45
04345,68.46,31.54
04346,6.38,93.62
04347,40.89,59.11
04348,100,0
04349,100,0
04350,100,0
04351,100,0
04352,100,0
04353,100,0
04354,100,0
04355,100,0
04357,100,0
04358,100,0
04359,2.06,97.94
04360,100,0
04363,100,0
04364,100,0
04401,28.23,71.77
04406,100,0
04408,100,0
04410,100,0
04411,69.1,30.9
04412,17.71,82.29
04413,100,0
04414,100,0
04415,100,0
04416,100,0
04417,100,0
04418,100,0
04419,100,0
04421,100,0
04422,100,0
04424,100,0
04426,100,0
04427,100,0
04428,100,0
04429,100,0
04430,100,0
04431,100,0
04434,100,0
04435,100,0
04438,100,0
04441,100,0
04442,100,0
04443,100,0
04444,69.87,30.13
04448,100,0
04449,100,0
04450,100,0
04451,100,0
04453,100,0
04454,100,0
04455,100,0
04456,100,0
04457,100,0
04459,100,0
04460,100,0
04461,39.61,60.39
04462,17.77,82.23
04463,100,0
04464,100,0
04468,34.68,65.32
04469,0,100
04471,100,0
04472,100,0
04473,12.92,87.08
04474,87.33,12.67
04475,100,0
04476,100,0
04478,100,0
04479,100,0
04481,100,0
04485,100,0
04487,100,0
04488,100,0
04489,27.41,72.59
04490,100,0
04491,100,0
04492,100,0
04493,100,0
04495,100,0
04496,100,0
04497,100,0
04530,27.47,72.53
04535,100,0
04537,100,0
04538,100,0
04539,100,0
04541,100,0
04543,100,0
04544,100,0
04547,100,0
04548,100,0
04551,100,0
04553,100,0
04554,100,0
04555,100,0
04556,100,0
04558,100,0
04562,100,0
04563,100,0
04564,100,0
04568,100,0
04570,100,0
04571,100,0
04572,100,0
04573,100,0
04574,100,0
04575,100,0
04576,100,0
04578,100,0
04579,93.75,6.25
04605,78.38,21.62
04606,100,0
04607,100,0
04609,50.94,49.06
04611,100,0
04612,100,0
04613,100,0
04614,100,0
04616,100,0
04617,100,0
04619,19.77,80.23
04622,100,0
04623,100,0
04624,100,0
04625,100,0
04626,100,0
04627,100,0
04628,100,0
04629,100,0
04630,100,0
04631,100,0
04634,100,0
04635,100,0
04637,100,0
04640,100,0
04642,100,0
04643,100,0
04644,0,100
04645,100,0
04646,100,0
04648,100,0
04649,100,0
04650,100,0
04652,100,0
04653,100,0
04654,100,0
04655,100,0
04657,100,0
04658,100,0
04660,100,0
04662,100,0
04664,100,0
04666,100,0
04667,100,0
04668,100,0
04669,100,0
04671,100,0
04673,100,0
04674,100,0
04675,100,0
04676,100,0
04677,100,0
04679,100,0
04680,100,0
04681,100,0
04683,100,0
04684,100,0
04685,100,0
04686,100,0
04691,100,0
04693,100,0
04694,100,0
04730,58.69,41.31
04732,100,0
04733,100,0
04734,100,0
04735,100,0
04736,59.76,40.24
04739,100,0
04740,100,0
04741,100,0
04742,100,0
04743,100,0
04745,100,0
04746,100,0
04747,100,0
04750,100,0
04756,100,0
04757,100,0
04758,100,0
